uid,touying_fid,island_id,island_uid_count,height_m,pixel_count_used,dem_error_p05_m,dem_error_median_m,dem_error_p95_m,reference_elevation_median_m,roof_elevation_p05_m,roof_elevation_median_m,roof_elevation_p75_m,roof_elevation_p85_m,roof_elevation_p90_m,roof_elevation_p95_m,building_height_p05_m,building_height_p25_m,building_height_p50_m,building_height_p75_m,building_height_p85_m,building_height_p90_m,building_height_p95_m,building_height_max_m,max_height_grubbs_n,max_height_grubbs_g,max_height_grubbs_gcrit,max_height_grubbs_p,max_height_reject_outlier,max_height_reliable,building_height_grubbs_top_m,grubbs_top_removed_count,grubbs_top_remaining_count,grubbs_top_last_g,grubbs_top_last_gcrit,grubbs_top_last_p,grubbs_top_reliable,coh_mean,amplitude_dispersion,lgr_rmse_rad,valid_pairs_median,bperp_span_median,method
582,582,367,1,3.0938713550567627,46,-2.666911542415619,3.0938714742660522,8.851535677909851,4.0,1.333088457584381,7.093871355056763,9.170395851135254,9.752578020095825,10.854816436767578,13.427122831344604,-2.666911542415619,-0.11688578128814697,3.0938713550567627,5.170395851135254,5.752578020095825,6.854816436767578,9.427122831344604,11.167783737182617,46,2.260934352874756,2.924080860089991,0.47107241039516246,False,True,11.167783737182617,0,46,2.2609342931050302,2.924080860089991,0.4710724920213194,True,0.8581405878067017,0.21460965275764465,0.6843587160110474,19.0,613.2711791992188,gamma_pixel_lgr_building_fid_residual_plus_dsm_minus_ground
600,600,373,1,-1.894911766052246,37,-6.169433689117431,-1.856711506843567,5.1938959121704045,4.0,-2.1694336891174317,2.15189266204834,3.1786375045776367,6.424780559539791,10.545491790771479,18.253450012207008,-6.169433689117431,-3.0366017818450928,-1.8481073379516602,-0.8213624954223633,2.42478055953979,6.545491790771479,14.253450012207008,40.05809020996094,37,4.687073707580566,2.8352016029234095,9.762091701670528e-08,True,False,4.9744110107421875,4,33,2.6758338741972296,2.78663898783401,0.07696612632754518,True,0.8391932845115662,0.35349196195602417,0.9303719401359558,16.0,482.9014892578125,gamma_pixel_lgr_building_fid_residual_plus_dsm_minus_ground
602,602,375,1,1.9960427284240723,43,-3.912726831436157,1.9960427284240723,16.80036869049072,4.0,0.0872731685638429,5.996042728424072,28.580419540405273,35.399497222900386,38.448950195312506,40.38855857849121,-3.912726831436157,-1.1238559484481812,1.9960427284240723,24.580419540405273,31.399497222900383,34.448950195312506,36.38855857849121,37.910614013671875,43,1.8249925374984741,2.8970234886239705,1.0,False,True,37.910614013671875,0,43,1.824992654466323,2.8970234886239705,1.0,True,0.8573466539382935,0.33778098225593567,0.725186824798584,15.0,322.7168884277344,gamma_pixel_lgr_building_fid_residual_plus_dsm_minus_ground
603,603,376,1,2.2708072662353516,47,-19.096932411193848,-3.1591851711273193,8.377809190750119,7.254883289337158,-15.096932411193848,6.270807266235352,15.508104801177979,20.648219108581547,27.709724807739253,33.075837135314934,-19.096932411193848,-6.989464998245239,2.2708072662353516,11.508104801177979,16.648219108581547,23.709724807739253,29.075837135314934,33.068382263183594,47,2.1574885845184326,2.932623282239436,0.6469456244362721,False,True,33.068382263183594,0,47,2.1574884598251844,2.932623282239436,0.6469458469265271,True,0.837714433670044,0.34617215394973755,0.9979605674743652,14.0,322.551513671875,gamma_pixel_lgr_building_fid_residual_plus_dsm_minus_ground
604,604,377,1,0.47710418701171875,68,-5.070721173286438,0.9454102218151093,10.521343851089478,4.0,-1.070721173286438,4.9454100131988525,8.108140707015991,12.217013692855826,17.92518539428712,22.438347911834715,-5.070721173286438,-2.365674138069153,0.9454100131988525,4.108140707015991,8.217013692855826,13.925185394287118,18.438347911834715,22.04900360107422,68,2.864098310470581,3.0733229178642976,0.10866711909311944,False,True,22.04900360107422,0,68,2.8640985112752815,3.0733229178642976,0.10866704138112881,True,0.9294511675834656,0.287304162979126,0.6396032571792603,31.0,561.0567016601562,gamma_pixel_lgr_building_fid_residual_plus_dsm_minus_ground
605,605,378,1,-3.867283821105957,76,-15.612101554870605,-3.530676484107971,9.131548881530762,4.0,-11.612101554870605,1.8049216270446777,5.5108174085617065,18.56180715560913,31.39241123199463,37.13154888153076,-15.612101554870605,-6.300874471664429,-2.1950783729553223,1.5108174085617065,14.56180715560913,27.39241123199463,33.13154888153076,39.80693817138672,76,2.7480432987213135,3.1136397514714296,0.1867306789268648,False,True,39.80693817138672,0,76,2.7480433265093898,3.1136397514714296,0.1867306614903428,True,0.8688602447509766,0.3261309564113617,1.1151865720748901,17.0,368.5443115234375,gamma_pixel_lgr_building_fid_residual_plus_dsm_minus_ground
609,609,379,1,24.861186981201172,23,-11.944891548156738,0.8611871600151062,5.898683404922485,28.0,-7.944891548156738,28.861186981201172,31.977319717407227,32.958386993408205,33.48547286987305,33.898682022094725,-11.944891548156738,0.23403334617614746,24.861186981201172,27.977319717407227,28.9583869934082,29.485472869873046,29.898682022094725,30.306976318359375,23,0.9147129654884338,2.6239161203491976,1.0,False,True,30.306976318359375,0,23,0.9147128825405323,2.6239161203491976,1.0,True,0.8651813268661499,0.3285813629627228,0.7855433821678162,19.0,478.9831848144531,gamma_pixel_lgr_building_fid_residual_plus_dsm_minus_ground
624,624,381,1,3.0062427520751953,36,-6.768275737762451,0.48193834722042084,18.81567144393921,4.0,-2.768275737762451,7.193575382232666,18.799070835113525,25.73111057281494,31.400111198425293,38.669068336486816,-6.768275737762451,-1.9862114787101746,3.193575382232666,14.799070835113525,21.73111057281494,27.400111198425293,34.669068336486816,46.365455627441406,36,2.777651786804199,2.8236933338418355,0.05992219898053852,False,True,46.365455627441406,0,36,2.7776516894755,2.8236933338418355,0.05992222164371386,True,0.8384950160980225,0.34646445512771606,0.87178635597229,14.0,362.406005859375,gamma_pixel_lgr_building_fid_residual_plus_dsm_minus_ground
627,627,384,1,34.51920700073242,59,-2.700089955329895,11.290406227111816,20.002087974548335,23.58954429626465,1.299910044670105,38.51920700073242,43.072601318359375,44.75146293640137,46.461062622070315,47.96107177734375,-2.700089955329895,4.304097652435303,34.51920700073242,39.072601318359375,40.75146293640137,42.461062622070315,43.96107177734375,50.535057067871094,59,1.4961214065551758,3.0205330048255705,1.0,False,True,50.535057067871094,0,59,1.496121290055407,3.0205330048255705,1.0,True,0.8370317816734314,0.3308800160884857,0.6736990213394165,18.0,362.406005859375,gamma_pixel_lgr_building_fid_residual_plus_dsm_minus_ground
629,629,386,1,0.6377763748168945,41,-5.449893474578857,0.7126762866973877,5.242160797119141,4.0,-1.4498934745788574,4.712676048278809,6.42810583114624,7.2563886642456055,8.577707290649414,9.24216079711914,-5.449893474578857,-1.2424700260162354,0.7126760482788086,2.4281058311462402,3.2563886642456055,4.577707290649414,5.242160797119141,39.35517883300781,41,5.215786933898926,2.8776635330787745,2.366949969356824e-10,True,False,5.242160797119141,2,39,1.6570227211714583,2.857104681649204,1.0,True,0.9172024726867676,0.22122156620025635,1.0061216354370117,37.0,712.62939453125,gamma_pixel_lgr_building_fid_residual_plus_dsm_minus_ground
