src_i,src_j,height,shared_boundary_m
1239,1242,9,11.275834743678676
1256,1265,15,12.192195370133103
1256,1266,15,10.251088508637958
1263,1264,12,5.080098784980515
1289,1291,21,18.45160413711021
1290,1302,21,18.45150551424716
1300,1301,21,59.45468956193227
1308,1309,12,14.223877166565302
1311,1312,48,15.994597495549911
1319,1320,21,6.220364527788303
