clean_id,Id,Floor,height,source_count,source_uids,height_insar_m,height_statistic,height_source_column,height_iqr_median_m,building_height_p05_m,building_height_p25_m,building_height_p50_m,building_height_p75_m,building_height_p85_m,building_height_p90_m,building_height_p95_m,building_height_max_m,building_height_grubbs_top_m,grubbs_top_removed_count,grubbs_top_remaining_count,grubbs_top_last_p,grubbs_top_reliable,max_height_reliable,max_height_reject_outlier,max_height_grubbs_p,max_height_grubbs_g,max_height_grubbs_gcrit,dem_error_median_m,roof_elevation_median_m,roof_elevation_p75_m,roof_elevation_p85_m,roof_elevation_p90_m,roof_elevation_p95_m,reference_elevation_median_m,pixel_count_used,point_count,island_count,max_island_uid_count,median_coherence,median_amplitude_dispersion,lgr_rmse_rad,valid_pairs_median,bperp_span_median,source_touying_fids,source_islands,prior_gap_m,has_insar_height,height_prior_m,review_multi_clean_id_island,review_negative_height,review_extreme_height,review_unreliable_max_height,review_large_prior_gap,qc_review,height_source,max_height_reliable_bool,grubbs_top_reliable_bool,height_likely_top_m,likely_top_method,likely_top_reliability,has_likely_top_height,likely_top_minus_height_diag_m
276,0,7,21,1,340,,likely_top_hypothesis_guided,no_strict_insar_solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,False,False,False,False,False,no_strict_insar_solution,False,False,,no_strict_insar_solution,no_solution,False,
277,0,4,12,1,341,2.4467573165893555,likely_top_hypothesis_guided,max_accept_grubbs,-0.7360386848449707,-2.056939387321472,-1.4704027771949768,-0.8981645107269287,0.3207283020019531,0.6829417705535885,0.7305871009826661,1.752923965454101,2.4467573165893555,2.4467573165893555,0.0,22.0,0.356169326398005,True,True,False,0.3561692617085179,2.047344923019409,2.602783742942279,-0.8981643915176392,3.1018354892730717,4.320728302001953,4.6829417705535885,4.730587100982666,5.752923965454101,4.0,22.0,1.0,1.0,1.0,0.8348863124847412,0.3550459444522857,0.4419294595718384,14.0,571.4669189453125,277,188,,True,,False,False,False,False,False,False,insar_roof_only_strict,True,True,2.4467573165893555,max_accept_grubbs,high,True,
278,0,7,21,1,342,,likely_top_hypothesis_guided,no_strict_insar_solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,False,False,False,False,False,no_strict_insar_solution,False,False,,no_strict_insar_solution,no_solution,False,
279,0,7,21,1,343,,likely_top_hypothesis_guided,no_strict_insar_solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,False,False,False,False,False,no_strict_insar_solution,False,False,,no_strict_insar_solution,no_solution,False,
280,0,7,21,1,344,,likely_top_hypothesis_guided,no_strict_insar_solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,False,False,False,False,False,no_strict_insar_solution,False,False,,no_strict_insar_solution,no_solution,False,
281,0,7,21,1,345,,likely_top_hypothesis_guided,no_strict_insar_solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,False,False,False,False,False,no_strict_insar_solution,False,False,,no_strict_insar_solution,no_solution,False,
282,0,7,21,1,346,,likely_top_hypothesis_guided,no_strict_insar_solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,False,False,False,False,False,no_strict_insar_solution,False,False,,no_strict_insar_solution,no_solution,False,
283,0,13,39,2,347;348,,likely_top_hypothesis_guided,no_strict_insar_solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,False,False,False,False,False,no_strict_insar_solution,False,False,,no_strict_insar_solution,no_solution,False,
284,0,7,21,1,349,,likely_top_hypothesis_guided,no_strict_insar_solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,False,False,False,False,False,no_strict_insar_solution,False,False,,no_strict_insar_solution,no_solution,False,
285,0,7,21,2,350;367,,likely_top_hypothesis_guided,no_strict_insar_solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,False,False,False,False,False,no_strict_insar_solution,False,False,,no_strict_insar_solution,no_solution,False,
286,0,8,24,1,351,,likely_top_hypothesis_guided,no_strict_insar_solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,False,False,False,False,False,no_strict_insar_solution,False,False,,no_strict_insar_solution,no_solution,False,
287,0,8,24,1,352,,likely_top_hypothesis_guided,no_strict_insar_solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,False,False,False,False,False,no_strict_insar_solution,False,False,,no_strict_insar_solution,no_solution,False,
288,0,18,54,1,353,,likely_top_hypothesis_guided,no_strict_insar_solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,False,False,False,False,False,no_strict_insar_solution,False,False,,no_strict_insar_solution,no_solution,False,
289,0,4,12,1,354,,likely_top_hypothesis_guided,no_strict_insar_solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,False,False,False,False,False,no_strict_insar_solution,False,False,,no_strict_insar_solution,no_solution,False,
290,0,4,12,1,355,,likely_top_hypothesis_guided,no_strict_insar_solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,False,False,False,False,False,no_strict_insar_solution,False,False,,no_strict_insar_solution,no_solution,False,
