clean_id,Id,Floor,height,source_count,source_uids,height_insar_m,height_statistic,height_source_column,height_iqr_median_m,building_height_p05_m,building_height_p25_m,building_height_p50_m,building_height_p75_m,building_height_p85_m,building_height_p90_m,building_height_p95_m,building_height_max_m,building_height_grubbs_top_m,grubbs_top_removed_count,grubbs_top_remaining_count,grubbs_top_last_p,grubbs_top_reliable,max_height_reliable,max_height_reject_outlier,max_height_grubbs_p,max_height_grubbs_g,max_height_grubbs_gcrit,dem_error_median_m,roof_elevation_median_m,roof_elevation_p75_m,roof_elevation_p85_m,roof_elevation_p90_m,roof_elevation_p95_m,reference_elevation_median_m,pixel_count_used,point_count,island_count,max_island_uid_count,median_coherence,median_amplitude_dispersion,lgr_rmse_rad,valid_pairs_median,bperp_span_median,source_touying_fids,source_islands,prior_gap_m,has_insar_height,height_prior_m,review_multi_clean_id_island,review_negative_height,review_extreme_height,review_unreliable_max_height,review_large_prior_gap,qc_review,height_source
865,0,6,18,1,1105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,False,False,False,False,False,no_strict_insar_solution
866,0,2,6,1,1107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,False,False,False,False,False,no_strict_insar_solution
867,0,4,12,1,1108,20.93826675415039,grubbs_top,building_height_grubbs_top_m,8.03561782836914,-0.8918897867202759,2.2084583044052124,8.03561782836914,18.95816707611084,19.54494504928589,19.709655380249025,20.277984046936037,20.93826675415039,20.93826675415039,0.0,100.0,1.0,True,True,False,1.0,1.392575979232788,3.209520302030832,2.619459867477417,12.03561782836914,22.95816707611084,23.54494504928589,23.709655380249025,24.277984046936037,9.38035011291504,100.0,1.0,1.0,1.0,0.8768904805183411,0.3208626806735992,0.7151161432266235,25.0,644.039306640625,867,556,,True,,False,False,False,False,False,False,insar_roof_only_strict
868,0,4,12,2,1109;1121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,False,False,False,False,False,no_strict_insar_solution
869,0,2,6,1,1110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,False,False,False,False,False,no_strict_insar_solution
870,0,11,33,1,1111,57.030487060546875,grubbs_top,building_height_grubbs_top_m,24.797391891479492,-3.1416509270668027,5.196150064468384,24.79739236831665,34.77963829040527,49.32058992385864,51.5068286895752,54.31897659301758,73.33403015136719,73.33403015136719,0.0,77.0,0.8009102869962561,True,True,False,0.8009105130631262,1.56585693359375,2.8443266721955194,3.2320984601974487,28.79739236831665,38.77963829040527,53.320589923858634,55.5068286895752,58.31897659301758,24.971375465393066,77.0,2.0,2.0,1.0,0.8758066892623901,0.2711563631892204,0.6594928652048111,17.0,329.34071350097656,870,"558,559",,True,,False,False,False,False,False,False,insar_roof_only_strict
871,0,5,15,1,1112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,False,False,False,False,False,no_strict_insar_solution
872,0,1,3,1,1113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,False,False,False,False,False,no_strict_insar_solution
873,0,2,6,1,1114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,False,False,False,False,False,no_strict_insar_solution
874,0,5,15,1,1115,20.84814071655273,grubbs_top,building_height_grubbs_top_m,-0.9600882530212402,-4.290744400024414,-2.315720558166504,-0.5804769992828369,4.931442260742188,8.299621963500977,10.478679084777834,15.577830505371097,20.84814071655273,20.84814071655273,0.0,77.0,0.0875612525282121,True,True,False,0.0875612111850252,2.9689505100250244,3.1183205576860584,-0.5804769396781921,3.419523000717163,8.931442260742188,12.299621963500975,14.478679084777834,19.577830505371097,4.0,77.0,1.0,1.0,1.0,0.9019901752471924,0.3482828736305237,0.6821841597557068,22.0,660.4149169921875,874,562,,True,,False,False,False,False,False,False,insar_roof_only_strict
875,0,6,18,1,1116,42.082176208496094,grubbs_top,building_height_grubbs_top_m,14.44778823852539,-4.685887813568115,3.43165922164917,14.44778823852539,28.45705795288086,32.647230529785155,34.42386169433594,39.58910446166992,42.082176208496094,42.082176208496094,0.0,97.0,1.0,True,True,False,1.0,1.8762648105621336,3.1991172600264206,4.748424053192139,18.44778823852539,32.45705795288086,36.64723052978516,38.42386169433594,43.58910446166992,12.382598876953123,97.0,1.0,1.0,1.0,0.8500114679336548,0.3372650146484375,0.7337459921836853,16.0,346.7593078613281,875,563,,True,,False,False,False,False,False,False,insar_roof_only_strict
876,0,6,18,2,1117;1118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,False,False,False,False,False,no_strict_insar_solution
877,0,7,21,1,1119,32.31167221069336,grubbs_top,building_height_grubbs_top_m,5.2926530838012695,-4.91046905517578,0.7486310601234436,5.2926530838012695,24.47635698318481,28.542252159118654,28.920631027221685,31.64385566711426,32.31167221069336,32.31167221069336,0.0,20.0,1.0,True,True,False,1.0,1.530265212059021,2.556581334492762,1.7934553623199463,9.29265308380127,28.47635698318481,32.542252159118654,32.92063102722168,35.64385566711426,7.73135232925415,20.0,1.0,1.0,1.0,0.847407877445221,0.34748575091362,0.48721843957901,12.5,360.5517883300781,877,565,,True,,False,False,False,False,False,False,insar_roof_only_strict
878,0,8,24,1,1120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,False,False,False,False,False,no_strict_insar_solution
