clean_id,height_network48_m,phase_sigma_network48_rad,roof_iqr_network48_m,support_points,ground_points,unwrap_valid_support_points,gamma_sbas_output_points,points_after_iqr,median_mean_coherence,height_network36_m,phase_sigma_network36_rad,roof_iqr_network36_m,network_height_difference_m,absolute_network_height_difference_m,insar_height_m,median_phase_sigma_rad,roof_height_iqr_m,solution_source,filled_from_prior,insar_only,paper_median_height_m,upper_plateau_applied,upper_plateau_point_jaccard,upper_plateau_network_difference_m,aggregation_extension,upper_plateau_uplift_m
540,15.811904788017271,0.3080398738384247,2.0865774154663086,21,40,18,18,18.0,0.7949565105761092,12.198580741882324,0.1152752265334129,2.723850011825561,-3.613324046134947,3.613324046134947,14.0052427649498,0.2116575501859188,2.405213713645935,GAMMA_equal_network48_36_consensus,0,0,14.0052427649498,0,,,paper_IQR_median,0.0
542,15.53643763065338,0.1685843542218208,4.330729246139526,17,40,16,16,16.0,0.8077954879651467,13.938566088676453,0.2674992978572845,3.9087512493133545,-1.597871541976927,1.597871541976927,14.737501859664915,0.2180418260395526,4.11974024772644,GAMMA_equal_network48_36_consensus,0,0,14.737501859664915,0,,,paper_IQR_median,0.0
547,28.839844346046448,0.1572764664888382,3.551774978637696,80,40,74,74,74.0,0.8150876322761178,28.210941195487976,0.1592149436473846,3.2814035415649414,-0.6289031505584717,0.6289031505584717,28.52539277076721,0.1582457050681114,3.4165892601013184,GAMMA_equal_network48_36_consensus,0,0,28.52539277076721,0,,,paper_IQR_median,0.0
550,30.766562670469284,0.2513563632965088,1.8571033477783203,241,40,159,159,157.0,0.8658253022780021,31.20869290828705,0.2348029315471649,3.055683135986328,0.4421302378177643,0.4421302378177643,30.98762778937817,0.2430796474218368,2.456393241882324,GAMMA_equal_network48_36_consensus,0,0,30.98762778937817,0,,,paper_IQR_median,0.0
555,14.949316024780272,0.2239976972341537,2.3769493103027344,17,40,17,17,17.0,0.8205527247240146,15.0018949508667,0.2860994040966034,3.2021169662475586,0.0525789260864275,0.0525789260864275,14.975605487823486,0.2550485506653785,2.7895331382751465,GAMMA_equal_network48_36_consensus,0,0,14.975605487823486,0,,,paper_IQR_median,0.0
558,28.183199167251587,0.2134479731321334,2.217405319213867,122,40,115,115,108.0,0.7968709661314886,26.800225496292114,0.3349431157112121,2.718223571777344,-1.3829736709594729,1.3829736709594729,27.49171233177185,0.2741955444216727,2.467814445495605,GAMMA_equal_network48_36_consensus,0,0,27.49171233177185,0,,,paper_IQR_median,0.0
559,13.78714632987976,0.1449043899774551,3.340559482574463,20,40,18,18,17.0,0.8072377027322849,13.352214694023132,0.1550517529249191,3.206259489059448,-0.4349316358566284,0.4349316358566284,13.569680511951448,0.1499780714511871,3.273409485816956,GAMMA_equal_network48_36_consensus,0,0,13.569680511951448,0,,,paper_IQR_median,0.0
562,30.949193954467773,0.2124680876731872,4.35815954208374,31,40,22,22,7.0,0.7876719711348414,28.849674224853516,0.2083243280649185,2.567450523376465,-2.099519729614258,2.099519729614258,29.899434089660645,0.4441095292568207,0.5006866455078125,GAMMA_equal_network48_36_consensus,0,0,27.73608835041523,1,1.0,2.099519729614258,dual_network_spatial_upper_plateau,2.1633457392454147
564,8.873120248317719,0.0440294984728097,2.125995635986328,28,40,28,28,26.0,0.8551291357725859,9.838297426700592,0.0513558983802795,4.440721273422241,0.9651771783828736,0.9651771783828736,9.355708837509155,0.0476926984265446,3.2833584547042847,GAMMA_equal_network48_36_consensus,0,0,9.355708837509155,0,,,paper_IQR_median,0.0
566,48.51541996002197,0.1701832562685012,2.439528465270996,93,40,72,72,72.0,0.8420471741507451,49.4100434333086,0.2251525521278381,5.189446449279785,0.8946234732866287,0.8946234732866287,48.96273169666529,0.1976679041981696,3.814487457275391,GAMMA_equal_network48_36_consensus,0,0,48.96273169666529,0,,,paper_IQR_median,0.0
