master,slave,dt_days,bperp_approx_m,mean_coh,median_coh,p10_coh,p90_coh,frac_ge_05,frac_ge_06
20230427,20230519,22,-290.32121658658366,0.42725685238838196,0.4132295250892639,0.16375024616718292,0.713208794593811,0.3543456790123457,0.21426278659611994
20230427,20230610,44,-426.286754815982,0.4195883870124817,0.40620172023773193,0.16235791146755219,0.6973923444747925,0.33994179894179893,0.1992257495590829
20230519,20230610,22,136.88401083189035,0.4897897243499756,0.480299711227417,0.18936416506767273,0.8086385130882263,0.4708395061728395,0.3308712522045855
20230519,20230702,44,-201.7517677025588,0.44989392161369324,0.43395036458969116,0.17093126475811005,0.757430374622345,0.3962204585537919,0.2575149911816578
20230519,20230724,66,89.56328376723087,0.45706936717033386,0.44359925389289856,0.17493891716003418,0.7642393708229065,0.4112874779541446,0.26940917107583773
20230610,20230702,22,-67.47827100080764,0.5132356286048889,0.5021078586578369,0.19620352983474731,0.8526067137718201,0.502989417989418,0.3708289241622575
20230610,20230724,44,222.8190255685896,0.42361849546432495,0.40925759077072144,0.16297495365142822,0.7065426707267761,0.3461798941798942,0.2058536155202822
20230610,20230815,66,-83.78616393370177,0.45595303177833557,0.44160738587379456,0.17440585792064667,0.7631803750991821,0.40815873015873017,0.26731216931216933
20230702,20230724,22,289.31501631252127,0.42068952322006226,0.4064725339412689,0.16153453290462494,0.7028914093971252,0.341299823633157,0.2014074074074074
20230702,20230815,44,148.31555057954813,0.44055530428886414,0.4248637557029724,0.1679280400276184,0.7407895922660828,0.37798765432098763,0.23861904761904762
20230724,20230815,22,-141.6934527453537,0.48692411184310913,0.47564882040023804,0.18791905045509338,0.8084588050842285,0.4640246913580247,0.32326984126984126
20230724,20230917,55,54.27114568656423,0.5143645405769348,0.5053205490112305,0.19821158051490784,0.8499816060066223,0.5074514991181658,0.37263668430335095
20230815,20230917,33,195.68234370599023,0.4536869525909424,0.43907061219215393,0.17399895191192627,0.7600173950195312,0.40280599647266313,0.26244797178130513
20230815,20231009,55,166.87859368256215,0.47789692878723145,0.46430280804634094,0.18254117667675018,0.7994555234909058,0.44625749559082895,0.308283950617284
20230917,20231009,22,-29.437941711753037,0.5068302154541016,0.4987855553627014,0.1958746463060379,0.8344180583953857,0.49827865961199297,0.3614955908289242
20230917,20231031,44,-18.55833408962389,0.5217470526695251,0.5139705538749695,0.20111732184886932,0.8596142530441284,0.5191781305114639,0.38616931216931216
20230917,20231111,55,-138.11915511935754,0.43147873878479004,0.41666141152381897,0.1645851731300354,0.7237144112586975,0.36195238095238097,0.22211816578483246
20231009,20231031,22,-46.66645626483963,0.5356384515762329,0.5331621170043945,0.21042847633361816,0.8678015470504761,0.5448447971781305,0.41174603174603175
20231009,20231111,33,-109.28952930012032,0.4662722647190094,0.4530860185623169,0.17884689569473267,0.7789537906646729,0.4277989417989418,0.2865414462081129
20231031,20231111,11,-153.1374671195086,0.4506452679634094,0.43768519163131714,0.1734960377216339,0.7508782148361206,0.40027865961199294,0.2564779541446208
