master,slave,bperp_m,dt_days,abs_bperp_m,quality_score,selection_class,mean_cc,median_cc,p25_cc,p75_cc,fraction_cc_ge_055,valid_fraction
20221205,20230325,-20.4709,110,20.4709,0.435315238,redundancy_addition,0.5375021324831468,0.5314936637878418,0.340580053627491,0.7414482980966568,0.4761904761904761,1.0
20221227,20230220,193.4938,55,193.4938,0.4729585945606231,frozen_seed,0.4729587171905777,0.4635489881038666,0.3032713383436203,0.6358200907707214,0.3665802469135802,1.0
20221227,20230325,56.4436,88,56.4436,0.453040152,redundancy_addition,0.5362695675509529,0.5361099541187286,0.3483573198318481,0.7305997014045715,0.4813862433862433,1.0
20230220,20230325,-137.0502,33,137.0502,0.4987774491310119,frozen_seed,0.4987775702662078,0.4927922338247299,0.3202474787831306,0.6758971363306046,0.416689594356261,1.0
20230220,20230519,96.4382,88,96.4382,0.445841124,redundancy_addition,0.4706977398015479,0.4587642103433609,0.2980638295412063,0.6349781304597855,0.3622310405643739,1.0
20230325,20230519,233.4884,55,233.4884,0.4323103725910187,frozen_seed,0.4323104092337538,0.4180772602558136,0.2729256078600883,0.5795315653085709,0.2899082892416226,1.0
20230325,20230610,110.6524,77,110.6524,0.455382568,redundancy_addition,0.4484289295720501,0.4349187910556793,0.283290147781372,0.6022858321666718,0.3209047619047619,1.0
20230325,20230702,58.4379,99,58.4379,0.4405811780000001,redundancy_addition,0.4542927450692088,0.4391905814409256,0.2848246321082115,0.612319752573967,0.3312574955908289,1.0
20230427,20230519,-287.7149,22,287.7149,0.4257839322090149,frozen_seed,0.4257838921675116,0.4119373857975006,0.2689388394355774,0.5704144835472107,0.2783668430335097,1.0
20230427,20230724,-160.6869,88,160.6869,0.434276358,redundancy_addition,0.4566363595348106,0.4432219266891479,0.2888863012194633,0.6142539232969284,0.335994708994709,1.0
20230519,20230610,-122.836,22,122.836,0.4904577136039734,frozen_seed,0.4904576720439399,0.4811611920595169,0.312982477247715,0.665157824754715,0.4007072310405644,1.0
20230519,20230702,-175.0505,44,175.0505,0.4498982727527618,frozen_seed,0.4498982949623432,0.4345535784959793,0.2820462435483932,0.6062833815813065,0.3234567901234568,1.0
20230519,20230724,127.028,66,127.028,0.4567224979400635,frozen_seed,0.4567224366165309,0.4437242299318313,0.2878547385334968,0.6145127266645432,0.3366719576719577,1.0
20230610,20230702,-52.2145,22,52.2145,0.5133731365203857,frozen_seed,0.5133731721619862,0.5024692416191101,0.3243311271071434,0.7031586021184921,0.4354691358024691,1.0
20230610,20230815,119.4943,66,119.4943,0.4557496905326843,frozen_seed,0.4557496633245159,0.4418166428804397,0.2869094759225845,0.6139585375785828,0.3345943562610229,1.0
20230702,20230815,171.7088,44,171.7088,0.439852625131607,frozen_seed,0.4398526302223799,0.4245350658893585,0.2761232703924179,0.5900239795446396,0.3033068783068783,1.0
20230724,20230815,-130.3697,22,130.3697,0.4880563914775848,frozen_seed,0.4880563639646882,0.4774974733591079,0.3101394474506378,0.6603907346725464,0.3936490299823633,1.0
20230724,20230917,55.1316,55,55.1316,0.5146756172180176,frozen_seed,0.5146755505161235,0.5055360794067383,0.3275460228323936,0.7028368711471558,0.4387742504409171,1.0
20230724,20231009,17.2967,77,17.2967,0.472186594,redundancy_addition,0.5038869413047611,0.4902437627315521,0.3157117962837219,0.6888716667890549,0.418084656084656,1.0
20230724,20231031,64.7031,99,64.7031,0.439453442,redundancy_addition,0.4917815529083446,0.4777013510465622,0.3078730702400207,0.6695958524942398,0.3978624338624338,1.0
20230724,20231111,-79.4678,110,79.4678,0.424695796,redundancy_addition,0.4367963705976311,0.4215313792228699,0.2751187309622764,0.5845448970794678,0.2965326278659612,1.0
20230815,20230917,185.5013,33,185.5013,0.4548004865646362,frozen_seed,0.4548005444754849,0.4404216110706329,0.286627821624279,0.6114668995141983,0.3322098765432099,1.0
20230815,20231009,147.6664,55,147.6664,0.4795812964439392,frozen_seed,0.4795811467048822,0.4664026647806167,0.302578829228878,0.6497304737567902,0.3779770723104056,1.0
20230815,20231031,195.0728,77,195.0728,0.440186896,redundancy_addition,0.4457835038193584,0.4311027079820633,0.2804462611675262,0.5987288951873779,0.3154356261022927,1.0
20230815,20231111,50.9019,88,50.9019,0.454037658,redundancy_addition,0.4862349305211783,0.47072534263134,0.3030733242630958,0.6629849821329117,0.3879929453262786,1.0
20230917,20231009,-37.8349,22,37.8349,0.5068864822387695,frozen_seed,0.5068864838573369,0.4988436996936798,0.3231855630874634,0.6901991665363312,0.4286084656084656,1.0
20230917,20231031,9.5715,44,9.5715,0.521763265132904,frozen_seed,0.5217632849280114,0.5140253603458405,0.3320393934845924,0.713453620672226,0.4512310405643739,1.0
20231009,20231031,47.4064,22,47.4064,0.535694420337677,frozen_seed,0.5356944337734362,0.5335040390491486,0.3462497219443321,0.7312497347593307,0.4776402116402116,1.0
20231009,20231111,-96.7645,33,96.7645,0.466306984424591,frozen_seed,0.4663070397968026,0.4532476663589477,0.2941458225250244,0.6293203383684158,0.3547830687830687,1.0
20231031,20231111,-144.1709,11,144.1709,0.4503602087497711,frozen_seed,0.4503602454415632,0.4378552287817001,0.2859783768653869,0.6042643636465073,0.3242839506172839,1.0
