building_uid,selected_pixel_count,iqr_retained_pixel_count,paper_text_median_m,original_code_range_m,robust_q95_q05_height_m,relative_height_q05_m,relative_height_q95_m,median_phase_residual_rms_rad,median_height_sigma_m,paper_text_median_45_m,robust_height_45_m,robust_height_network_difference_m,ground_ellipsoid_height_m,recommended_building_height_m,roof_ellipsoid_height_m,quality_pass,height_definition
65314,170,170,19.744916915893555,73.73467922210693,55.30469713211058,-3.45893869400024,51.845758438110344,0.31247176229953766,1.1331157088279724,19.601689338684082,54.96887713074683,0.33582000136375,-1.9099920988082886,55.30469713211058,53.394705033302294,True,SBAS像元相对高差的P95-P05；非先验填充
65500,184,184,25.851635932922363,74.94720697402954,65.39770891666413,-3.126220726966858,62.271488189697266,2.839751720428467,7.1693549156188965,25.879182815551758,62.58980572223663,2.807903194427496,-3.2054343223571777,65.39770891666413,62.19227459430695,True,SBAS像元相对高差的P95-P05；非先验填充
65547,292,292,26.87342929840088,74.30377864837646,62.74949808120727,-4.204659366607666,58.54483871459961,0.6563800573348999,2.3132436275482178,26.58038902282715,62.20102820396423,0.5484698772430434,-3.5334768295288086,62.74949808120727,59.21602125167846,True,SBAS像元相对高差的P95-P05；非先验填充
65548,338,338,18.542530059814453,61.88427484035492,47.87937726974487,3.4807366371154784,51.36011390686035,2.553046941757202,5.6007585525512695,19.463129997253418,47.38662889003753,0.49274837970734353,-2.7843804359436035,47.87937726974487,45.09499683380127,True,SBAS像元相对高差的P95-P05；非先验填充
65692,14,13,2.320158004760742,9.865278244018555,6.79837763607502,-2.3383783370256426,4.459999299049377,3.597719669342041,2.699370265007019,2.2976443767547607,5.8063993662595745,0.9919782698154451,-0.5669170618057251,6.79837763607502,6.231460574269295,True,SBAS像元相对高差的P95-P05；非先验填充
65716,24,24,19.709721565246582,13.715625762939453,8.427865314483642,15.435457324981689,23.86332263946533,5.469769477844238,19.20291042327881,19.46251678466797,9.048618364334104,-0.6207530498504621,1.0256528854370117,8.427865314483642,9.453518199920653,False,SBAS像元相对高差的P95-P05；非先验填充
65717,4,4,4.441106557846069,8.290358304977417,7.869259750843047,1.281402337551117,9.150662088394164,3.8097556829452515,6.095381498336792,18.399784088134766,7.6545762538909905,0.21468349695205635,0.41241979598999023,7.869259750843047,8.281679546833036,False,SBAS像元相对高差的P95-P05；非先验填充
67458,57,55,29.949247360229492,58.796767234802246,48.92029247283936,-13.106520652770996,35.81377182006836,1.992205262184143,3.41695499420166,29.770771026611328,45.34069137573242,3.579601097106938,-2.5632786750793457,48.92029247283936,46.35701379776001,True,SBAS像元相对高差的P95-P05；非先验填充
67485,95,95,16.252443313598633,55.68414115905762,35.96003794670105,-8.354789304733275,27.605248641967773,0.25714385509490967,0.9054845571517944,16.844675064086914,37.16141638755798,-1.201378440856928,-1.6029503345489502,35.96003794670105,34.3570876121521,True,SBAS像元相对高差的P95-P05；非先验填充
67549,15,15,0.32904407382011414,3.2132188081741333,2.9974799752235413,-1.8880780696868897,1.1094019055366515,0.2016707956790924,0.6260562539100647,0.13478146493434906,2.92053861618042,0.07694135904312116,-0.6760909557342529,2.9974799752235413,2.3213890194892883,True,SBAS像元相对高差的P95-P05；非先验填充
67634,128,128,34.32276916503906,103.34469032287598,82.76452796459199,-7.71617248058319,75.0483554840088,0.5305465459823608,1.8204764127731323,34.15858840942383,82.72509043216706,0.03943753242492676,-3.594845771789551,82.76452796459199,79.16968219280244,True,SBAS像元相对高差的P95-P05；非先验填充
67635,93,93,34.0357666015625,90.36192119121552,60.186260414123495,11.611762046813967,71.79802246093746,0.45782381296157837,1.555420160293579,33.91249084472656,58.69476776123045,1.4914926528930437,-4.910317897796631,60.186260414123495,55.275942516326865,True,SBAS像元相对高差的P95-P05；非先验填充
67651,101,89,51.0522346496582,97.58779621124268,75.03883647918701,4.606938362121582,79.6457748413086,3.031569242477417,2.257554292678833,48.13816833496094,72.34558010101318,2.693256378173828,0.014614541083574295,75.03883647918701,75.05345102027059,True,SBAS像元相对高差的P95-P05；非先验填充
67652,165,165,11.405198097229004,116.42612314224243,75.6325015068054,-2.6863772392272947,72.9461242675781,1.9003267288208008,5.5064215660095215,10.23948860168457,73.65321059226987,1.9792909145355253,-2.579284906387329,75.6325015068054,73.05321660041807,True,SBAS像元相对高差的P95-P05；非先验填充
67653,157,149,9.107097625732422,61.737178802490234,31.360508310794824,0.9028049826622011,32.263313293457024,2.0393450260162354,4.393514633178711,9.403664588928223,34.31575663089752,-2.955248320102694,1.3847249746322632,31.360508310794824,32.74523328542709,True,SBAS像元相对高差的P95-P05；非先验填充
67654,115,115,38.842079162597656,92.38529300689697,78.26830258369445,-6.687292909622192,71.58100967407226,2.34946346282959,3.7566230297088623,38.027374267578125,77.87962274551391,0.3886798381805363,1.5406131744384766,78.26830258369445,79.80891575813293,True,SBAS像元相对高差的P95-P05；非先验填充
