building_uid,island_label,selected_pixel_count,iqr_retained_pixel_count,insar_height_above_anchor_m,insar_height_iqr_m,median_velocity_m_per_year,median_phase_residual_rms_rad,median_height_sigma_m
75149,113,171,141,-114.35399012407716,7.5420602107318615,0.009339787468682123,2.4383563182435806,8.127481917992668
75150,114,186,159,-144.88987483879944,4.850959433941284,0.0031452468004878912,2.5959634206478035,8.778176332688181
75151,115,189,162,-121.57720830405256,5.179758351935845,0.017939714673772145,4.146792333838141,12.211890803921102
75152,116,198,168,-104.10047209589086,8.252438037030913,-0.003840624121881814,4.869776288987296,14.71808018155229
75153,117,212,183,-127.2839919857457,4.495776747687813,-0.002950022424495838,3.7951441639977435,12.622594594016112
75157,118,333,333,-2.4947994008355123,21.899696114880037,0.019073265226757945,0.8313129361494909,2.8147754200415225
75173,119,665,665,-2.2421964154897034,39.970576301546615,-0.0010010450519362909,0.5667389479065842,1.9118383999528556
75174,120,520,520,-56.12416126565204,34.628231362731654,-0.009862032436336352,2.734716557094343,10.186025025942019
75331,121,312,312,-54.09271587124725,34.929211682183904,-0.03142551309381802,3.2364265436245825,10.915930228789794
75339,122,102,102,-11.341528083770736,28.991211238388928,-0.009564711987639626,3.639948143859923,12.110428941015305
75340,123,64,64,-32.1537843225579,28.27771282029721,0.023824268672524178,2.34009408986169,8.557151214689716
75378,124,20,20,-31.198639602614886,7.33537881434675,-0.008742936101773693,2.4307291872231884,7.29117093782647
77471,125,97,97,-24.661111629704525,22.43973661696973,-0.021275864469824057,3.1296948393635486,10.485867694976593
77472,126,24,23,-0.47394217842351616,2.3970390288840715,-0.022150942454701512,3.1396100678762253,9.224209314408053
77640,129,24,22,-7.584473113129233,1.5517938562396854,-0.009909916083066066,2.856057764556318,8.751567203315506
77650,130,242,224,0.24879996122582582,32.32493481405707,-0.00019039978048646455,0.6412407547939443,1.1328930897719836
78268,131,61,54,-13.415698907278925,10.530691052603373,-0.00920283919634575,1.4854913792919464,4.9267702669717215
79578,132,11,10,-7.714821114668234,1.7768176929958246,-0.004282191986473401,2.7739523786976443,2.0231915505098796
79980,133,253,253,-44.80445760403385,47.708841350551324,0.031441002889084926,2.7134987025019504,9.920800930230227
80019,134,1494,1487,-70.04941802785802,67.40752289619894,0.01729074318706396,3.425821060736317,11.558529314353716
80252,135,332,322,-46.28109895387858,9.243616507944083,0.012410944469560783,3.2707607568852497,11.528344432378546
80596,136,126,124,-3.586085505102121,8.64154913695277,0.010368237858425063,2.841368868485006,7.799973498516845
84813,137,363,363,-57.55298028393085,67.66707796356697,-0.01058060713667249,2.5955333384141723,8.385700561049815
85055,138,66,65,-21.544844131028203,9.244541432686049,-0.029331897002360652,3.939292374018082,12.544146790371698
85468,139,6,6,-17.093135147529345,5.166845245473922,-0.004740209224279754,2.2493499533691006,4.227832818212914
85469,140,26,26,-25.955548397455978,10.434880793978493,-0.009669234179785584,3.6430691013970113,12.60035585381417
85477,141,75,75,-22.590715833938447,15.347354891928887,0.026620750101254247,2.794799140517407,10.117270207319367
85492,142,37,37,-44.465429553928494,20.418303220205672,0.013790384546035908,3.5695212212349468,7.540248846356542
87050,143,168,168,-33.270306448838944,23.57005885643546,-0.007666600261091527,2.3970442170254445,8.371521551627419
87051,144,103,103,-7.469227802734275,18.278088890456623,5.997144161162442e-05,0.546039850998449,1.6559828222176867
87529,145,47,47,2.76866884111386,11.917175667482422,0.017688635246054938,0.8491660154033546,2.402101460959368
88679,148,2,2,-1.437308763640284,1.071269528084519,-0.012094258158426022,2.1611766921866127,7.744014223847872
88691,150,14,12,-29.896179461248114,2.7161608509802555,-0.025210302307975475,3.985109485561704,13.226712253879473
88693,152,27,27,-6.660007932606867,3.768581842243087,-0.0055352169107081885,0.6136144793948659,1.5736889545809738
90501,153,2,2,2.6648944768545304,6.11060071600234,-0.025396367599522972,2.5123140823664176,8.176570215088626
90522,155,30,27,-0.14627058902663975,2.7435103042628333,-0.0015391001095657506,1.735084965690151,5.959606455290188
90894,156,82,82,-3.666471235798224,24.4546878078969,0.002379622572770192,3.0832009825316202,2.590240988651833
90896,157,100,81,-42.144838998367106,3.9764135867285475,0.001748784670958866,4.781307835240937,16.41686005641812
90904,158,199,199,20.138616451245518,21.723899026555316,-0.007513563339980351,1.8438738388415157,3.568647575874737
90921,159,13,12,-41.36830462963901,3.474872233468041,0.027817723836231708,4.154014908281798,15.128449603153625
90922,160,6,6,-58.99755507977048,2.842893270192505,-0.039470640421166096,5.26460728413824,18.86229534366514
90947,161,8,7,-22.137134818816282,2.3886063547042404,-0.04112660975191444,4.144516544270761,12.887392106751673
92926,162,300,233,-38.555984902130525,5.945371191458378,-0.014137734183936067,3.671372711436174,11.481655188101554
92933,163,199,197,3.3881807578994807,12.977351686899262,-0.012581991326524003,3.2479569549336027,8.668356063011744
92970,164,39,39,-11.638603836701236,18.21278842769498,0.006660786569202746,2.5591214630997294,9.008510054054396
94855,165,1145,1145,-32.96693768186066,55.109209953975,-0.0024675782741975325,1.9044698195575733,6.17586613994165
94911,167,4,4,0.7020390275156644,1.892861383538385,0.0016266583389213075,2.12543249686383,6.068158267323704
97340,168,711,711,-36.843891201289765,49.3707283759707,0.0587309492526653,2.9675638083072275,10.499616815490297
97660,170,24,24,-17.893226427868687,66.67844070113237,-0.02113826748965173,3.1408807754672665,10.81902769445113
99751,171,4,3,-19.579955232996415,2.171591359407099,-0.019620973090957502,3.0308277032563202,11.438097217172565
102049,172,30,30,-33.82143812933631,16.540990357219755,-0.038943458182980714,3.393299968729604,12.33289968035222
106421,173,5,3,-1.945528377311661,0.28366384086315843,0.00020221528464026397,2.4447349366544207,4.584267735583952
106449,174,57,57,-36.069266971768386,19.66421297940485,0.0016762554020754784,2.2575917483667984,2.8020293409851815
106450,175,158,150,-14.348303839044519,23.783063799030487,0.012244635579478086,2.315235931197888,7.386372434771893
108184,176,284,266,-1.0933767905070497,12.94703140721131,-0.0011033462008431644,1.3121242278639165,1.2729475598528768
108190,177,842,723,-18.071807851313352,13.536692995356898,0.0019775099852426133,0.9384234654511135,1.6264901010380586
110081,178,7,7,-47.455445863190874,8.30396743802001,-0.012069536728068726,3.014565722997785,11.771469994645637
110082,179,41,41,10.312366927967732,6.35550950390893,0.010012370525761906,2.9999380478717086,2.0706369041286523
110115,180,60,55,-41.764031226239744,8.071293114920167,0.011469537998954924,3.1556030169417473,9.311904117462134
110116,181,69,66,-23.355633467266887,11.402929326166772,0.019398426738685668,3.13417345874835,11.444754498514849
110117,182,82,82,-62.73122596138858,24.98622047400154,-0.008224651316223047,2.6405057218676946,9.298647498221467
110145,183,82,82,-25.94868547785109,30.23116624949233,-0.04175133377410145,3.4368764670425938,13.108623412984098
110146,184,32,32,9.000041120636565,5.229255500211029,0.010445279149646328,2.314681463879139,8.646856354933016
110147,185,97,81,-46.292230555201556,9.205431231056892,-0.022310322375747815,3.5371339387186738,12.815716002156735
111783,186,16,15,0.8090016726247362,5.084474319171071,-0.011994556826419311,3.375925371723697,4.042804202126322
111784,187,17,15,-11.419098442599175,4.4271153486436745,0.03922891654629287,3.818511682291969,14.275795690617278
111785,188,10,9,-5.950553025974455,5.357889615072858,0.004196818781920408,2.843083320531666,7.272532093959944
111794,189,40,40,5.593988411619756,21.97128963571936,0.01299495152705515,2.6858047101266185,9.477806203283588
111837,190,40,40,-81.21805918389258,27.522963987589414,0.008202974742456293,3.6484928309305182,12.341249501212037
111838,191,25,25,-85.47666179751832,11.64268527373737,-0.01796344514318763,3.2198993799402755,12.00395791096926
