building_uid,Floor,recommended_building_height_m,paper_text_median_m,original_code_range_m,quality_pass,floor_nominal_3m_audit_only,recommended_minus_nominal_m
63248,34,2.6580380082130417,0.9349890947341919,5.439951539039612,True,102.0,-99.34196199178696
63249,34,2.6055845379829403,-1.788230538368225,3.532023072242737,True,102.0,-99.39441546201707
63250,34,3.9303697049617767,-3.4467755556106567,5.783043801784515,True,102.0,-98.06963029503822
63251,34,5.240103721618652,31.610105514526367,6.114299774169922,False,102.0,-96.75989627838135
63299,36,69.92492341995239,-12.589152336120605,73.14216995239258,True,108.0,-38.07507658004761
63300,36,59.098586082458475,-5.514039039611816,64.96997928619385,True,108.0,-48.901413917541525
63348,32,28.061980795860283,6.768299102783203,42.54172229766846,True,96.0,-67.93801920413972
63385,31,56.52495765686035,41.88965606689453,94.55052185058594,True,93.0,-36.47504234313965
63386,32,22.36701501607895,4.071535110473633,23.23535841703415,True,96.0,-73.63298498392105
65171,32,12.671774959564209,8.343573570251465,13.795944213867188,False,96.0,-83.3282250404358
65193,32,53.61110000610351,60.367774963378906,60.630088806152344,False,96.0,-42.38889999389649
65194,32,17.826399040222164,39.84556198120117,35.18049240112305,False,96.0,-78.17360095977784
65282,34,73.3171963453293,39.908172607421875,87.017569065094,True,102.0,-28.682803654670707
65283,34,57.95584480762481,26.551681518554688,69.24157792329788,True,102.0,-44.04415519237519
65284,34,41.94730484485626,13.619658470153809,46.68231165409088,True,102.0,-60.05269515514374
65285,34,50.73534405231475,26.20235824584961,60.174306869506836,True,102.0,-51.26465594768525
65286,34,13.611175179481506,1.7450002431869507,25.421109199523926,False,102.0,-88.3888248205185
65288,34,42.35488352775573,53.72271537780762,43.88279342651367,False,102.0,-59.64511647224427
65289,34,9.090847587585447,24.4265193939209,10.98373031616211,False,102.0,-92.90915241241456
65296,33,49.16780853271483,90.23189544677734,101.11941146850586,True,99.0,-49.83219146728517
65297,33,59.822846984863276,52.574684143066406,96.4080011844635,True,99.0,-39.177153015136724
65298,34,49.277949035167694,16.63423728942871,68.69064426422119,True,102.0,-52.722050964832306
65299,34,88.44276003837582,47.925466537475586,114.22923183441162,True,102.0,-13.557239961624177
65300,34,42.7982466697693,61.04972839355469,72.65403842926025,True,102.0,-59.2017533302307
65301,34,48.17706964462995,21.62901496887207,51.16754710674286,True,102.0,-53.82293035537005
65304,40,56.835618019104004,33.37567329406738,72.11862564086914,False,120.0,-63.164381980895996
65311,36,83.70921739935875,28.847814559936523,99.41824245452881,True,108.0,-24.29078260064125
65312,36,62.74133586883544,17.116357803344727,72.98196649551392,True,108.0,-45.25866413116456
65313,36,39.535283660888666,-5.8288044929504395,42.301846504211426,True,108.0,-68.46471633911133
65314,44,55.30469713211058,19.744916915893555,73.73467922210693,True,132.0,-76.69530286788941
65500,32,65.39770891666413,25.851635932922363,74.94720697402954,True,96.0,-30.60229108333587
