building_uid,island_label,selected_pixel_count,iqr_retained_pixel_count,insar_height_m,insar_height_iqr_m,median_velocity_m_per_year,median_phase_rms_rad,median_height_sigma_m
74977,27,33,29,342.7159397424988,5.316215551867344,-0.051472944508573315,1.3844723523422044,4.7146975753730915
74978,25,20,20,149.46575325058944,276.41136895549204,-0.03904215481173787,1.468009736603772,4.660167437084941
75149,43,32,32,228.15614949640883,2.7462653076914876,0.025777518094665396,1.5165431951607866,4.588813450899255
75150,43,3,3,237.37201524100132,0.28660907057761165,0.021320290410170188,1.5267596513234827,5.881016528910992
75153,43,91,76,230.26411456465522,1.2344068876768972,0.023976019868049987,1.527458853811064,4.7717671402115975
75157,70,5,4,206.651663482039,5.364964476672014,-0.004037571976855203,1.68134397842557,5.885747992124338
75173,70,51,38,216.0592366397379,5.761595311071375,-0.009073648457031624,1.671754046707862,6.171386516061386
75174,71,163,126,247.37887655221056,17.02551755494295,0.023128828146995163,1.4823730759499152,5.199290602829295
75331,85,25,25,343.2350834913847,45.62912922511828,-0.029864895159688157,1.4656389820944262,5.368549252727867
75339,96,23,23,97.87706367657461,236.64532414372906,0.03148318366226958,1.5448835458163064,5.623014072453063
75340,99,38,32,231.13295101413908,118.75094394371197,-0.004939911755615872,1.603820894256803,5.339146023019664
75378,99,15,14,211.3849333632884,95.08488453016375,-0.004403338963136438,1.585650240889144,5.553194521306181
77472,19,5,5,342.68549753672164,122.89463250432328,-0.045237187675072656,1.4694395885917892,5.359554309759803
77650,67,243,243,-39.54943826644071,201.54766775011643,-0.016878164793383298,1.574384042550738,5.696786838491033
78268,116,18,14,304.2387572342674,2.4447131080307827,-0.056238686806706385,1.3179042976270297,4.931632984157352
79578,1,1,1,348.06752761104667,0.0,-0.05191894219355088,1.381569323156963,5.041775845418926
79980,38,69,62,346.6272298346584,5.962055810655954,-0.051453825808458885,1.3040948535395525,4.283394186312257
80019,60,15,12,227.2803327969646,5.762643193396627,0.019308229477873667,1.636589033487661,6.112481989447625
80252,93,58,58,218.2937720897943,125.88267627823026,-0.05916975035339352,1.4186601958896428,5.173022825210715
80596,117,48,39,327.64289061268255,2.810132501641249,-0.054691638238933755,1.275351299506753,4.67407117095574
84813,39,91,77,343.85114963946546,27.06939288622732,-0.056022123904860874,1.3536823255478236,4.966004056335671
85055,92,13,12,205.2735877498058,2.2181431540813605,0.006077103404242744,1.5221356632550043,5.185291268422267
85477,135,42,31,330.6721607550061,12.135711918436414,-0.05750843888949716,1.2843435815038524,4.515144778898279
85492,136,14,13,329.03300388067703,3.0429569845995275,-0.06438523811517713,1.0827126264468865,3.534551611313737
87051,80,46,44,336.7888330386314,25.481118344807896,-0.05214127913974076,1.3942916511199752,5.153115099301124
87529,135,3,3,81.66047813764901,124.8043888885853,0.048970328634839716,1.4863151491588185,5.816105984715645
90896,87,17,16,336.8910162162919,1.9102288602367707,-0.05140732652366037,1.3162802437065562,4.445598135878422
90904,81,72,72,361.6933989816796,128.6204270470631,-0.05110623626048849,1.3647413101990704,4.692107839537775
92926,83,157,157,216.53320657268156,127.3101049389521,0.017049878895393073,1.5610268612924982,5.056315767198781
92970,97,11,11,200.87644057551626,124.34069777343365,0.014104825318683767,1.530149234397118,5.232742351482844
94855,68,214,214,218.36150107913164,232.92849212506428,-0.025401946401317918,1.452820144393254,5.110454844191095
97340,63,69,52,48.82708759821416,9.954064469786765,-0.025099222485080237,1.4929037064829234,5.526311084035423
97660,111,11,7,198.64922589100752,0.5194942553648616,0.0034071701426820022,1.480190856954271,4.848153169947074
106449,109,16,12,330.6047094330724,6.68734621328349,-0.0527149269883075,1.2928478136338506,4.86681410093459
106450,108,28,21,212.9866503856937,6.510923874276955,0.00590271914512457,1.5558407293740142,5.634362680158009
108184,109,41,31,323.5276189947932,11.85490651970946,-0.05379459238125512,1.249112855814399,4.842974968023915
108190,110,259,257,236.43779340872985,118.72717701782477,0.018445592234092114,1.5200463354865572,5.019219982286916
110117,142,5,4,336.9841145244255,1.0905993801075624,-0.06457998267833746,1.1733977735028724,4.2706528709232785
110146,146,4,4,185.15011852037927,330.9194325575083,-0.05533972863709708,1.3057580488961114,4.583875729896976
110147,149,4,3,332.61639913699287,2.598762251262542,-0.05984622645968015,1.2798268735224605,4.490102888004745
111785,119,2,2,191.88493327258996,140.573978787366,-0.03433602751947173,1.3605953638256683,4.987888264347683
111794,123,2,2,184.1652572329344,157.0811301901612,-0.039891495268639,1.4388374795146837,5.176766668112125
111846,147,12,11,227.65359803126225,116.84870250927929,0.012479510752426386,1.5255475200211435,5.938728352314422
111851,148,1,1,338.92478734122784,0.0,-0.05659775430057244,1.3586808953036391,5.208254934991984
115239,126,4,3,-57.09373852166138,3.011068962847851,0.00827963867900019,1.5665913172500308,5.817083043952486
115241,125,121,108,184.69659307792662,17.13908845741628,0.040148254151227275,1.565664459229046,5.350094307208645
115255,125,57,57,146.81889330325754,245.50856627004228,-0.01202670365332309,1.568047574450765,5.899161979004126
116837,124,314,281,349.5781220224455,20.500262497302458,-0.05742414573694995,1.3140780640770604,4.679040760334522
